timestamp_s,elapsed_s,lc_raw,lc_mv,enc_deg,enc_rev,enc_rpm
1778138139.5754,4.3884,-953,-0.0044,0.0,0.000,0
1778138139.5832,4.3962,-83,-0.0004,0.0,0.000,0
1778138139.5921,4.4050,-438,-0.0020,0.0,0.000,0
1778138139.6040,4.4170,-1033,-0.0048,0.0,0.000,0
1778138139.6125,4.4254,294,0.0014,0.0,0.000,0
1778138139.6246,4.4375,-929,-0.0043,0.0,0.000,0
1778138139.6364,4.4493,-611,-0.0028,0.0,0.000,0
1778138139.6448,4.4578,-32,-0.0001,0.0,0.000,0
1778138139.6536,4.4665,-1150,-0.0054,0.0,0.000,0
1778138139.6655,4.4784,227,0.0011,0.0,0.000,0
1778138139.6735,4.4865,-1042,-0.0049,0.0,0.000,0
1778138139.6856,4.4986,-507,-0.0024,0.0,0.000,0
1778138139.6940,4.5069,126,0.0006,0.0,0.000,0
1778138139.7060,4.5190,-1150,-0.0054,0.0,0.000,0
1778138139.7142,4.5272,260,0.0012,0.0,0.000,0
1778138139.7227,4.5356,-1001,-0.0047,0.0,0.000,0
1778138139.7349,4.5478,-405,-0.0019,0.0,0.000,0
1778138139.7432,4.5561,76,0.0004,0.0,0.000,0
1778138139.7552,4.5681,-1002,-0.0047,0.0,0.000,0
1778138139.7635,4.5764,152,0.0007,0.0,0.000,0
1778138139.7757,4.5887,-903,-0.0042,0.0,0.000,0
1778138139.7847,4.5976,-438,-0.0020,0.0,0.000,0
1778138139.7927,4.6056,8,0.0000,0.0,0.000,0
1778138139.8045,4.6174,-1192,-0.0056,0.0,0.000,0
1778138139.8165,4.6295,221,0.0010,0.0,0.000,0
1778138139.8249,4.6378,-911,-0.0042,0.0,0.000,0
1778138139.8334,4.6464,-457,-0.0021,0.0,0.000,0
1778138139.8453,4.6582,9,0.0000,0.0,0.000,0
1778138139.8543,4.6673,-1105,-0.0051,0.0,0.000,0
1778138139.8660,4.6789,111,0.0005,0.0,0.000,0
1778138139.8745,4.6874,-907,-0.0042,0.0,0.000,0
1778138139.8829,4.6959,-193,-0.0009,0.0,0.000,0
1778138139.8947,4.7077,-120,-0.0006,0.0,0.000,0
1778138139.9034,4.7164,-1045,-0.0049,0.0,0.000,0
1778138139.9153,4.7283,89,0.0004,0.0,0.000,0
1778138139.9239,4.7368,-1013,-0.0047,0.0,0.000,0
1778138139.9354,4.7483,-378,-0.0018,0.0,0.000,0
1778138139.9441,4.7570,-36,-0.0002,0.0,0.000,0
1778138139.9560,4.7689,-1070,-0.0050,0.0,0.000,0
1778138139.9651,4.7781,164,0.0008,0.0,0.000,0
1778138139.9765,4.7895,-673,-0.0031,0.0,0.000,0
1778138139.9853,4.7983,-941,-0.0044,0.0,0.000,0
1778138139.9968,4.8097,-76,-0.0004,0.0,0.000,0
1778138140.0057,4.8186,-1175,-0.0055,0.0,0.000,0
1778138140.0140,4.8269,283,0.0013,0.0,0.000,0
1778138140.0259,4.8388,-754,-0.0035,0.0,0.000,0
1778138140.0345,4.8474,-904,-0.0042,0.0,0.000,0
1778138140.0464,4.8594,144,0.0007,0.0,0.000,0
1778138140.0547,4.8677,-1096,-0.0051,0.0,0.000,0
1778138140.0665,4.8794,213,0.0010,0.0,0.000,0
1778138140.0751,4.8881,-774,-0.0036,0.0,0.000,0
1778138140.0871,4.9001,-786,-0.0037,0.0,0.000,0
1778138140.0955,4.9084,102,0.0005,0.0,0.000,0
1778138140.1073,4.9203,-1220,-0.0057,0.0,0.000,0
1778138140.1160,4.9289,181,0.0008,0.0,0.000,0
1778138140.1247,4.9376,-756,-0.0035,0.0,0.000,0
1778138140.1364,4.9494,-872,-0.0041,0.0,0.000,0
1778138140.1449,4.9579,223,0.0010,0.0,0.000,0
1778138140.1571,4.9700,-1147,-0.0053,0.0,0.000,0
1778138140.1655,4.9784,-21,-0.0001,0.0,0.000,0
1778138140.1773,4.9902,-561,-0.0026,0.0,0.000,0
1778138140.1858,4.9988,-895,-0.0042,0.0,0.000,0
1778138140.1975,5.0105,106,0.0005,0.0,0.000,0
1778138140.2064,5.0194,-1086,-0.0051,0.0,0.000,0
1778138140.2183,5.0313,-230,-0.0011,0.0,0.000,0
1778138140.2264,5.0393,-755,-0.0035,0.0,0.000,0
1778138140.2350,5.0480,-758,-0.0035,0.0,0.000,0
1778138140.2470,5.0599,128,0.0006,0.0,0.000,0
1778138140.2557,5.0687,-1171,-0.0055,0.0,0.000,0
1778138140.2673,5.0802,31,0.0001,0.0,0.000,0
1778138140.2760,5.0890,-515,-0.0024,0.0,0.000,0
1778138140.2844,5.0973,-886,-0.0041,0.0,0.000,0
1778138140.2963,5.1093,176,0.0008,0.0,0.000,0
1778138140.3048,5.1178,-1304,-0.0061,0.0,0.000,0
1778138140.3166,5.1296,-80,-0.0004,0.0,0.000,0
1778138140.3254,5.1383,-481,-0.0022,0.0,0.000,0
1778138140.3372,5.1502,-1111,-0.0052,0.0,0.000,0
1778138140.3457,5.1586,214,0.0010,0.0,0.000,0
1778138140.3573,5.1702,-1279,-0.0060,0.0,0.000,0
1778138140.3662,5.1792,-34,-0.0002,0.0,0.000,0
1778138140.3778,5.1908,-581,-0.0027,0.0,0.000,0
1778138140.3866,5.1996,-1061,-0.0049,0.0,0.000,0
1778138140.3948,5.2078,261,0.0012,0.0,0.000,0
1778138140.4069,5.2199,-1222,-0.0057,0.0,0.000,0
1778138140.4186,5.2316,-211,-0.0010,0.0,0.000,0
1778138140.4275,5.2405,-157,-0.0007,0.0,0.000,0
1778138140.4360,5.2489,-1068,-0.0050,0.0,0.000,0
1778138140.4478,5.2608,325,0.0015,0.0,0.000,0
1778138140.4564,5.2693,-1141,-0.0053,0.0,0.000,0
1778138140.4682,5.2812,-189,-0.0009,0.0,0.000,0
1778138140.4763,5.2893,-542,-0.0025,0.0,0.000,0
1778138140.4884,5.3013,-1147,-0.0053,0.0,0.000,0
1778138140.4972,5.3102,198,0.0009,0.0,0.000,0
1778138140.5090,5.3219,-1030,-0.0048,0.0,0.000,0
1778138140.5175,5.3305,-274,-0.0013,0.0,0.000,0
1778138140.5260,5.3389,-608,-0.0028,0.0,0.000,0
1778138140.5378,5.3507,-1030,-0.0048,0.0,0.000,0
1778138140.5464,5.3593,333,0.0016,0.0,0.000,0
1778138140.5584,5.3713,-1074,-0.0050,0.0,0.000,0
1778138140.5669,5.3798,-155,-0.0007,0.0,0.000,0
1778138140.5751,5.3880,-701,-0.0033,0.0,0.000,0
1778138140.5872,5.4001,-1075,-0.0050,0.0,0.000,0
1778138140.5955,5.4085,261,0.0012,0.0,0.000,0
1778138140.6074,5.4203,-1137,-0.0053,0.0,0.000,0
1778138140.6162,5.4292,-217,-0.0010,0.0,0.000,0
1778138140.6280,5.4409,-323,-0.0015,0.0,0.000,0
1778138140.6366,5.4495,-1053,-0.0049,0.0,0.000,0
1778138140.6483,5.4612,201,0.0009,0.0,0.000,0
1778138140.6570,5.4700,-1028,-0.0048,0.0,0.000,0
1778138140.6689,5.4818,-425,-0.0020,0.0,0.000,0
1778138140.6774,5.4904,-4,-0.0000,0.0,0.000,0
1778138140.6892,5.5021,-1094,-0.0051,0.0,0.000,0
1778138140.6976,5.5105,228,0.0011,0.0,0.000,0
1778138140.7062,5.5192,-1006,-0.0047,0.0,0.000,0
1778138140.7184,5.5313,-431,-0.0020,0.0,0.000,0
1778138140.7266,5.5396,50,0.0002,0.0,0.000,0
1778138140.7386,5.5515,-1154,-0.0054,0.0,0.000,0
1778138140.7467,5.5597,171,0.0008,0.0,0.000,0
1778138140.7587,5.5717,-1005,-0.0047,0.0,0.000,0
1778138140.7673,5.5802,-407,-0.0019,0.0,0.000,0
1778138140.7791,5.5920,-390,-0.0018,0.0,0.000,0
1778138140.7875,5.6005,-991,-0.0046,0.0,0.000,0
1778138140.7996,5.6125,253,0.0012,0.0,0.000,0
1778138140.8080,5.6210,-1086,-0.0051,0.0,0.000,0
1778138140.8163,5.6293,-243,-0.0011,0.0,0.000,0
1778138140.8284,5.6413,-276,-0.0013,0.0,0.000,0
1778138140.8369,5.6498,-1053,-0.0049,0.0,0.000,0
1778138140.8489,5.6619,163,0.0008,0.0,0.000,0
1778138140.8573,5.6703,-761,-0.0035,0.0,0.000,0
1778138140.8656,5.6785,-187,-0.0009,0.0,0.000,0
1778138140.8777,5.6906,-249,-0.0012,0.0,0.000,0
1778138140.8861,5.6991,-875,-0.0041,0.0,0.000,0
1778138140.8982,5.7112,249,0.0012,0.0,0.000,0
1778138140.9066,5.7195,-851,-0.0040,0.0,0.000,0
1778138140.9186,5.7315,-260,-0.0012,0.0,0.000,0
1778138140.9270,5.7400,-69,-0.0003,0.0,0.000,0
1778138140.9391,5.7520,-929,-0.0043,0.0,0.000,0
1778138140.9474,5.7603,320,0.0015,0.0,0.000,0
1778138140.9594,5.7723,-1123,-0.0052,0.0,0.000,0
1778138140.9681,5.7811,-472,-0.0022,0.0,0.000,0
1778138140.9766,5.7896,-444,-0.0021,0.0,0.000,0
1778138140.9885,5.8014,-1188,-0.0055,0.0,0.000,0
1778138140.9969,5.8099,141,0.0007,0.0,0.000,0
1778138141.0090,5.8220,-886,-0.0041,0.0,0.000,0
1778138141.0208,5.8337,-653,-0.0030,0.0,0.000,0
1778138141.0295,5.8425,112,0.0005,0.0,0.000,0
1778138141.0379,5.8508,-1153,-0.0054,0.0,0.000,0
